Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF
2379402,16.7,13.1,11.0,16.7,13.6,2.4,1.36252863
1195216,9.6,13.1,16.4,16.4,13.0,2.8,1.591987026
2351964,9.9,14.6,14.4,14.6,13.0,2.2,1.262621833
2482333,10.5,13.3,12.1,13.3,12.0,1.1,0.65901738
1352531,6.0,12.5,14.3,14.3,10.9,3.5,2.048534778
2583712,6.2,12.9,12.1,12.9,10.4,3.0,1.740024663
2537777,12.8,8.9,8.7,12.8,10.1,1.9,1.074285154
2462077,11.0,8.2,10.7,11.0,10.0,1.2,0.721162312
2538695,11.3,6.5,9.3,11.3,9.1,2.0,1.141278684
1361261,-9.2,18.9,15.8,18.9,8.5,12.6,7.258275628
2029301,8.6,8.6,7.5,8.6,8.2,0.5,0.308614938
2445847,6.1,7.6,10.5,10.5,8.0,1.8,1.051676184
2473689,5.1,7.4,4.1,7.4,5.5,1.4,0.782129568
1096636,1.9,4.3,3.1,4.3,3.1,1.0,0.559227093
2469310,0.7,2.7,3.4,3.4,2.3,1.1,0.658142229
2537780,-2.0,3.5,4.8,4.8,2.1,3.0,1.705041262
116748,-4.9,1.2,-1.8,1.2,-1.8,2.5,1.438965907
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
