Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF,Mean.Activity.n.3..UHTS,SE.UHTS,Max.Activity.UHTS
2130005,78.3,77,83.4,83.4,79.6,2.8,1.590478198,45.63,1.87,37.53
2130022,77.8,94.1,100.3,100.3,90.7,9.5,5.463705859,48.44,1.75,79.74
2130765,111.8,101.4,101.5,111.8,104.9,4.9,2.809101679,45.73,2.87,37.77
2131708,152.2,144.2,134.5,152.2,143.6,7.3,4.195864458,95.63,2.47,217.09
2131713,86.4,124.4,124.9,124.9,111.9,18,10.40704911,47.24,3.46,117.43
2214647,490.1,444.3,427.5,490.1,454,26.5,15.2910697,159.27,5.35,195.05
2214649,360.3,337.7,306.1,360.3,334.7,22.2,12.8286301,92.18,1.8,114.86
2292714,398.2,482.3,419.9,482.3,433.5,35.6,20.58240239,111.5,3.21,268.7
2299738,233.9,193.9,202.9,233.9,210.2,17.1,9.899686032,33.19,0.6,59.14
2299821,211.5,198.3,155.7,211.5,188.5,23.8,13.72704678,91.68,3.13,157.32
2301149,248.7,208.5,184.1,248.7,213.7,26.6,15.38190267,45.15,3.52,97.38
2302557,180.6,208,194.2,208,194.3,11.2,6.462695748,52.46,4.25,110.28
2306797,515.7,431.9,492.1,515.7,479.9,35.3,20.37565653,85.55,4.11,216.47
2314301,114.6,105.6,107.2,114.6,109.1,3.9,2.257240413,40.11,1.8,62.89
2314315,137.3,138.4,124.2,138.4,133.3,6.4,3.72089384,63.91,4.12,78.2
2319568,131.2,130.9,120.4,131.2,127.5,5,2.908999296,43.01,3.48,90.6
2323814,34.5,41,40.7,41,38.7,3,1.75265945,38.71,2.63,47.6
2326277,167,165.8,169.2,169.2,167.3,1.4,0.799292853,82.27,0.96,84.87
2330740,97.6,108.1,110.1,110.1,105.3,5.5,3.170218038,89.83,3.3,207.02
2332369,64.3,69.6,71.3,71.3,68.4,3,1.717055731,36.31,1.65,25.45
2335820,155.3,144.6,138.1,155.3,146,7.1,4.091309005,56.77,6.75,43.86
2339844,252.8,199.1,221.4,252.8,224.4,22,12.72623127,72.03,0.66,128.5
2351964,9.9,14.6,14.4,14.6,13,2.2,1.262621833,40.57,3.61,90.37
2352020,216.5,210,185.8,216.5,204.1,13.2,7.63065643,52.14,2.08,55.05
